Unnamed: 0,authors,title,journal,pmid,year,accession,Organisms,RecordYears,Hosts,Countries,IsolateYears,CDS,SeqLens,AlignLens,PcntIDs
360,"Aktas M., Altay K., Azkur A., Azkur K., Bolat Y., Dumanli N., Kalkan A., Ozdarendeli A., Tonbak S.","Crimean-Congo hemorrhagic fever virus: genetic analysis and tick survey in Turkey, Direct Submission","Virology, 4120-4124 (2006), Elazig 23119, Firat University, J. Clin. Microbiol. 44 (11), Turkey",17088370.0,2006,"DQ397823.1, DQ397824.1, DQ397825.1, DQ397826.1",Orthonairovirus haemorrhagiae (4),26-J (4),nan (4),Turkey (4),nan (4),S protein (4),216 (4),72 (4),95%-100% (4)
361,Yadav P.,"Complete genome analysis of CCHF virus from India, Direct Submission, detected in last 8 years","Maximum Containment Laboratory, India, Maharashtra 411021, National Institute of Virology, Pashan, Pune, Unpublished",,2018,"MH396640.1, MH396641.1, MH396642.1, MH396643.1, MH396644.1, MH396645.1, MH396646.1, MH396647.1, MH396648.1, MH396649.1, MH396650.1, MH396651.1, MH396652.1, MH396653.1, MH396654.1, MH396655.1, MH396656.1, MH396657.1, MH396658.1, MH396659.1, MH396660.1, MH396661.1, MH396662.1, MH396663.1, MH396664.1, MH396665.1, MH396666.1, MH396667.1, MH396668.1, MH396669.1, MH396670.1, MH396671.1, MH396672.1, MH396673.1, MH396674.1, MH396675.1, MK330132.1, MK330133.1, MK330134.1, MK330135.1, MK330136.1, MK330137.1",Orthonairovirus haemorrhagiae (42),"22-M (36), 30-J (6)","Homo sapiens (39), Tick (3)","India: Amreli District, Gujarat State (9), India: Rajkot District, Gujarat State (6), India: Vadodara District, Gujarat State (6), India: Bhuj District, Gujarat State (6), India: Kutch District, Gujarat State (6), India: Gujarat State (3), India: Jodhpur District, Rajasthan State (3), India: Ahmadabad District, Gujarat State (3)","2017 (9), 2016 (9), 2015 (9), 2018 (6), 2014 (3), 2013 (3), 2010 (3)","nucleoprotein precursor (14), glycoprotein precursor (14), RNA-dependent RNA polymerase (12), L Protein (2)","1000-3000 (14), 5000-10000 (14), >10000 (14)","482 (14), 3945 (14), 1684 (8), 1685 (4), 1659 (2)","75%-90% (14), 95%-100% (28)"
362,Yadav P.,"Direct Submission, Molecular characterisation of the CCHFV from the tick and human","Maximum Containment Laboratory, India, Maharashtra 411021, National Institute of Virology, Pashan, Pune, Unpublished",,2018,"MH396640.1, MH396641.1, MH396642.1, MH396643.1, MH396644.1, MH396645.1, MH396646.1, MH396647.1, MH396648.1, MH396649.1, MH396650.1, MH396651.1, MH396652.1, MH396653.1, MH396654.1, MH396655.1, MH396656.1, MH396657.1, MH396658.1, MH396659.1, MH396660.1, MH396661.1, MH396662.1, MH396663.1, MH396664.1, MH396665.1, MH396666.1, MH396667.1, MH396668.1, MH396669.1, MH396670.1, MH396671.1, MH396672.1, MH396673.1, MH396674.1, MH396675.1, MK330132.1, MK330133.1, MK330134.1, MK330135.1, MK330136.1, MK330137.1",Orthonairovirus haemorrhagiae (42),"22-M (36), 30-J (6)","Homo sapiens (39), Tick (3)","India: Amreli District, Gujarat State (9), India: Rajkot District, Gujarat State (6), India: Vadodara District, Gujarat State (6), India: Bhuj District, Gujarat State (6), India: Kutch District, Gujarat State (6), India: Gujarat State (3), India: Jodhpur District, Rajasthan State (3), India: Ahmadabad District, Gujarat State (3)","2017 (9), 2016 (9), 2015 (9), 2018 (6), 2014 (3), 2013 (3), 2010 (3)","nucleoprotein precursor (14), glycoprotein precursor (14), RNA-dependent RNA polymerase (12), L Protein (2)","1000-3000 (14), 5000-10000 (14), >10000 (14)","482 (14), 3945 (14), 1684 (8), 1685 (4), 1659 (2)","75%-90% (14), 95%-100% (28)"
363,"Mourya D., Shete A., Yadav P.","First report of nosocomial outbreak of Crimean-Congo hemorrhagic fever, First report of nosocomial outbreak of CrimeanCongo hemorrhagic fever, India, Rajasthan State",Unpublished,,,"KT384382.1, KT384388.1, KT384397.1, KT384400.1, KT384404.1",Orthonairovirus haemorrhagiae (5),06-S (5),nan (5),India (5),"2014 (2), 2013 (2), 2015 (1)",nan (5),"261 (1), 1447 (1), 1118 (1), 573 (1), 823 (1)",0 (5),
364,"Mourya D., Shete A., Yadav P.","Direct Submission, First report of nosocomial outbreak of Crimean-Congo hemorrhagic fever, India, Rajasthan State","Maximum Containment Laboratory, India, Maharashtra 411021, Maharashtra India, Maximum Containment Laboratory, National Institute of Virology, Pashan Sus Road, Pune, Unpublished",,2015,"KT384382.1, KT384383.1, KT384384.1, KT384385.1, KT384386.1, KT384387.1, KT384388.1, KT384389.1, KT384390.1, KT384391.1, KT384392.1, KT384393.1, KT384394.1, KT384395.1, KT384396.1, KT384397.1, KT384398.1, KT384399.1, KT384400.1, KT384401.1, KT384402.1",Orthonairovirus haemorrhagiae (21),"25-N (17), 06-S (4)",nan (21),India (21),"2015 (9), 2013 (8), 2014 (4)",nan (21),"100-500 (2), 500-1000 (7), 1000-3000 (11), 5000-10000 (1)",0 (21),
365,"Mourya D., Shete A., Yadav P.","Direct Submission, First report of nosocomial outbreak of Crimean-Congo hemorrhagic fever, India, Rajasthan State","Maximum Containment Laboratory, India, Maharashtra 411021, National Institute of Virology, Pashan, Pune, Unpublished",,2015,"KT384382.1, KT384388.1, KT384397.1, KT384400.1, KT384403.1, KT384404.1",Orthonairovirus haemorrhagiae (6),"06-S (5), 25-N (1)",nan (6),India (6),"2014 (2), 2013 (2), 2015 (2)",nan (6),"100-500 (1), 500-1000 (3), 1000-3000 (2)",0 (6),
366,"Aristova V., Gutorov V., Kuzina I., Lvov D., Netesov S., Petrov V., Petrova I., Seregin S., Tiunnikov G., Tyunnikov G., Vyshemirsky O., Yashina L.","Direct Submission, Genetic variability of Crimean-Congo hemorrhagic fever virus in Russia and Middle Asia","Biochemistry of Viruses, Koltsovo, Novosibirsk 630559, Russia, State Research Center of Virology and Biotechnology 'Vector', Unpublished",,2001,"AF401647.1, AF401648.1, AF401649.1, AF401650.1, AF401651.1",Orthonairovirus haemorrhagiae (5),23-J (5),nan (5),"Russia: Rostov region (3), Russia: Volgograd region (1), Russia: Stavropol region (1)",nan (5),envelope glycoprotein (5),323 (5),107 (5),95%-100% (5)
367,"Gutorov V., Lvov D., Netesov S., Petrov V., Petrova I., Seregin S., Vyshemirski O., Yashina L.","Direct Submission, Genetic analysis of wild-type Crimean-Congo hemorrhagic fever virus in Russia and Central Asia","Biochemistry of Viruses, Koltsovo, Novosibirsk 630559, Russia, State Research Center of Virology and Biotechnology Vector, Unpublished",,2002,"AY093620.1, AY093621.1, AY093622.1, AY093623.1, AY093624.1, AY093625.1, AY093626.1, AY093627.1",Orthonairovirus haemorrhagiae (8),26-J (8),nan (8),"Russia: Volgograd Region (4), Russia: Uzbekistan (1), Russia: Tadjikistan (1), Russia: Rostov Region (1), Russia: Stavropole Region (1)",nan (8),envelope glycoprotein (8),323 (8),107 (8),"50%-75% (1), 75%-90% (1), 95%-100% (6)"
368,"Akyildiz G., Gargili keles A., Zarrabi ahrabi S.","Direct Submission, The current status of tick populations in Istanbul and their biorisks in terms of CCHF and public health","Faculty of Health Sciences/Basic Health Sciences Department, 9/4/1, Istanbul 34854, M.U. Basibuyuk Campus, Maltepe, Marmara University, Turkey, Unpublished",,"2022, 2023","OP312072.1, OP312073.1, OP312074.1, OP312075.1, OP312076.1, OQ377559.1, OQ377560.1, OQ377561.1, OQ377562.1, OQ377563.1, OQ377564.1",Orthonairovirus haemorrhagiae (11),"27-J (6), 05-A (5)","Ixodes sp. (4), Ixodes ricinus (2), Ixodes ricinus; male (2), Haemaphysalis sp. (2), Ixodes ricinus; female (1)",Turkey: Istanbul (11),2021 (11),structural capsid protein (11),"214 (4), 176 (3), 172 (2), 213 (2)","71 (5), 58 (3), 56 (2), 70 (1)",95%-100% (11)
369,"Ahmeti S., Ajazi-berisha L., Atkinson B., Brooks T., Bruce C., Chamberlain J., Cook N., Dowall S., Hewson R., Logue C., Naser ramadani G., Osborne J., Thomson G., Tishkova F.","Development of a Real-Time RT-PCR Assay for the Detection of Crimean-Congo Haemorrhagic Fever Virus, Development of a Real-Time RT-PCR Assay for the Detection of Crimean-Congo Hemorrhagic Fever Virus, Direct Submission","Health Protection Agency, Manor Farm Road, Salisbury SP4 0JG, UK, Vector Borne Zoonotic Dis. (2012) In press",22217175.0,"2011, 2012","JN086996.1, JN108025.1, JN173797.1",Orthonairovirus haemorrhagiae (3),"14-J (1), 12-N (1), 06-N (1)","Homo sapiens (2), nan (1)","Tajikistan (1), Kosovo (1), United Arab Emirates (1)","2010 (1), 2009 (1), 1979 (1)",nucleocapsid protein (3),1449 (3),482 (3),95%-100% (3)
370,"Carhan A., Dincer E., Ozkaya E., Ozkul A., Uyar Y.","Direct Submission, Sequence analysis of Crimean-Congo hemorrhagic fever virus between 2006-2008 in Turkey","Ankara 06100, Ankara 06110, Ankara University, Biotechnology Institute, Cemal Gursel Caddesi, Diskapi, No. 18 Sihhiye, Refik Saydam Hygiene Center, Turkey, Unpublished, Veterinary Faculty, Virology Department",,2008,"FJ601845.1, FJ601846.1, FJ601847.1, FJ601848.1, FJ601849.1, FJ601850.1, FJ601851.1, FJ601852.1, FJ601853.1, FJ601854.1, FJ601855.1, FJ601856.1, FJ601857.1, FJ601858.1, FJ601859.1, FJ601860.1, FJ601861.1, FJ601862.1, FJ601863.1, FJ601864.1, FJ601865.1, FJ601866.1, FJ601867.1, FJ601868.1, FJ601869.1, FJ601870.1, FJ601871.1, FJ601872.1, FJ601873.1, FJ601874.1, FJ601875.1, FJ601876.1, FJ601877.1, FJ601878.1, FJ601879.1, FJ601880.1, FJ601881.1, FJ601882.1, FJ601883.1, FJ601884.1, FJ601885.1, FJ601886.1, FJ601887.1, FJ601888.1, FJ601889.1, FJ601890.1, FJ601891.1, FJ601892.1, FJ601893.1, FJ601894.1, FJ601895.1, FJ601896.1",Orthonairovirus haemorrhagiae (52),24-J (52),Homo sapiens (52),Turkey (52),"2008 (36), 2007 (10), 2006 (6)",S protein (52),"100-500 (8), 500-1000 (44)",100-500 (52),"90%-95% (1), 95%-100% (51)"
371,"Bouzari S., Chinikar S., Fooks A., Jalali T., Khakifirouz S., Mostafavi E., Nowotny N., Shah-hosseini N., Shahhosseini N., Shokrgozar M.","Direct Submission, Genetic diversity of Crimean-Congo hemorrhagic fever virus strains from Iran","Arboviruses and Viral Hemorrhagic Fevers Laboratory (National Reference Laboratory), Bernhard Nocht Institute for Tropical Medicine, Germany, Hamburg, Iran, Pasteur Ave, Pasteur Institute of Iran, Tehran, Unpublished, Virology",,2014,"KM401454.1, KP075635.1, KP075636.1, KP075637.1, KP075638.1, KP075639.1, KP075640.1, KP075641.1, KP075642.1, KP075643.1, KP075644.1, KP075645.1, KP075646.1, KP075647.1, KP075648.1, KP075649.1, KP075650.1, KP075651.1, KP075652.1, KP075653.1, KP075654.1, KP075655.1, KP075656.1, KP075657.1, KP075658.1, KP075659.1, KP075660.1, KP075661.1, KP075662.1, KP075663.1, KP075664.1, KP075665.1, KP075666.1, KP075667.1, KP075668.1, KP075669.1, KP075670.1, KP075671.1, KP075672.1, KP075673.1, KP075674.1, KP075675.1, KP075676.1, KP075677.1, KP075678.1, KP075679.1, KP075680.1, KP075681.1, KP075682.1, KP075683.1",Orthonairovirus haemorrhagiae (50),"31-O (49), 31-A (1)",Homo sapiens (50),Iran (50),"2012 (22), 2011 (8), 2010 (5), 2013 (4), 2006 (2), 2003 (2), 2008 (2), 2009 (1), 2004 (1), 2007 (1), 2005 (1), 2001 (1)","nucleocapsid (44), glycoprotein (6)","100-500 (49), 500-1000 (1)",100-500 (50),"90%-95% (42), 95%-100% (8)"
372,"Durmaz R., Ertek M., Kalaycioglu A., Korukluoglu G., Ozkul A., Unaldi O., Uyar Y.","Direct Submission, Genetic diversity of Crimean-Congo hemorrhagic fever viruses in Turkey","Ankara 06100, Cemal Gursel cad. No. 18, Molecular Microbiology Research and Application Laboratory, Refik Saydam National Public Health Agency, Refik Saydam Public Health Agency, Sihhiye, Turkey, Unpublished",,"2010, 2011","HQ833034.1, HQ833035.1, HQ891306.1, HQ891307.1, HQ891308.1, JF523541.1, JF523542.1, JF523543.1, JF523544.1, JF523545.1",Orthonairovirus haemorrhagiae (10),25-J (10),"Homo sapiens; male (6), Homo sapiens; female (2), Homo sapiens; sex: female (2)",Turkey (10),"2009 (7), 2010 (3)","glycoprotein precursor (8), nucleoprotein (2)","100-500 (4), 500-1000 (6)",100-500 (10),"90%-95% (1), 95%-100% (9)"
373,"Ari O., Bakir M., Dal T., Durmaz R., Engin A., Erdem E., Kalaycioglu A., Oguzoglu T.","Direct Submission, Investigation of genetic variations of Crimean-Congo Hemorrhagic Fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease, Investigation of genetic variations of Crimean-Congo hemorrhagic Fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease, Investigation of genetic variations of Crimean-Congo hemorrhagic fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease, Investigation of genetic variations of crimean-congo hemorrhagic fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease","Department of Pharmaceutical Microbiology, Faculty of Pharmacy, Faculty of Pharmacy Department of Pharmaceutical Microbiology, Karadeniz Technical University, Trabzon, Trabzon 61000, Trabzon 61100, Turkey, University Mah, University mah, Unpublished",,"2022, 2023","ON755121.1, OQ935537.1, OQ954469.1, OQ954470.1, OQ954475.1, OQ954477.1",Orthonairovirus haemorrhagiae (6),"15-A (5), 14-M (1)",Homo sapiens (6),Turkey (6),"2019 (3), 2021 (2), 2016 (1)","glycoprotein precursor (2), RNA-dependent RNA polymerase (2), nucleocapsid protein (2)","468 (2), 5364 (1), 861 (1), 527 (1), 518 (1)","156 (2), 1688 (1), 287 (1), 175 (1), 172 (1)","90%-95% (1), 95%-100% (5)"
374,"Gutorov V., Hodgson L., Karimov S., Kazakov S., Kuzina I., Lofts R., Lvov D., Netesov S., Ospanov K., Petrov V., Petrova I., Seregin S., Shestopalov A., Smith J., Tumanova I., Tyunnikov G., Vyshemirski O., Yashina L.","Crimean-Congo hemorrhagic fever virus S segment, Direct Submission","Biochemistry of Viruses, Bldg. 1425, Fort Detrick, Frederick, Koltsovo, MD 21701, Novosibirsk 630559, Russia, State Research Center of Virology and Biotechnology 'Vector', USA, USAMRIID, Unpublished, Virology Division",,"1997, 2003, 2004","AY277668.1, AY277669.1, AY277670.1, AY277671.1, AY277672.1, AY277673.1, AY277674.1, AY277675.1, AY277676.2, AY277677.1, AY297688.1, AY297689.1, AY297690.1, AY297691.2, AY297692.2, NC_005302.1, U88410.1, U88411.1, U88412.1, U88413.1, U88414.1, U88415.1, U88416.1",Orthonairovirus haemorrhagiae (23),"25-J (11), 04-M (7), 04-A (2), 13-A (1), 14-J (1), 15-D (1)","nan (13), Homo sapiens (4), Hyalomma marginatum (2), Hyalomma asiaticum (2), Hyalomma anatolicum (2)","nan (8), Tajikistan (7), Kazakhstan (5), Turkmenistan (1), Russia: Rostov region (1), Bulgaria (1)",nan (23),"nucleocapsid protein (15), nucleoprotein (8)","100-500 (11), 1000-3000 (12)","482 (12), 100 (7), 165 (3), 155 (1)",95%-100% (23)
375,"Chinikar S., Maghsood H., Nabian S., Shayan P.","Direct Submission, Molecular epidemiology and phylogeny of Crimean-Congo haemorrhagic fever (CCHF) virus of Ixodid ticks in Khorasan-e-Razavi province of Iran, Molecular epidemiology and phylogeny of Crimean-Congo hemorrhagic fever (CCHF) virus of Ixodid ticks in Khorasan-e-Razavi province of Iran","Enghalab Square, Faculty of Veterinary Medicine, Iran, Parasitology, Tehran, Tehran 009821, University of Tehran, Unpublished",,2015,"KP682503.1, KP742979.1",Orthonairovirus haemorrhagiae (2),"29-J (1), 22-J (1)",Hyalomma marginatum (2),Iran (2),20-M (2),nucleocapsid protein (2),497 (2),165 (2),95%-100% (2)
376,"Meissner J., Nichol S., St. jeor S.","Direct Submission, Partial sequence of CCHF virus L segment","1664 North Virginia Street, Microbiology, NV 89557, Reno, USA, University of Nevada, Unpublished",,"2003, 2004","AY422208.2, AY422209.2",Orthonairovirus haemorrhagiae (2),"10-N (1), 30-M (1)",nan (2),nan (2),nan (2),L protein (2),"12122 (1), 12168 (1)",3945 (2),95%-100% (2)
377,"Antoniadis A., Dalla V., Kartalis G., Papa A., Papadimitriou E.","Direct Submission, Emergence of Crimean-Congo haemorrhagic fever in Greece","843-847 (2010), Aristotle University of Thessaloniki, Clin. Microbiol. Infect. (2009) In press, Clin. Microbiol. Infect. 16 (7), Dept. of Microbiology, Greece, Medical School, Thessaloniki 54124",19845692.0,"2008, 2009, 2010, 2013","EU871766.2, FJ643480.1",Orthonairovirus haemorrhagiae (2),"24-J (1), 29-J (1)",Homo sapiens (2),"Greece: Rodopi (1), Greece: Rodopi prefecture (1)",2008 (2),"envelope glycoprotein (1), nucleoprotein (1)","254 (1), 1673 (1)","85 (1), 482 (1)",95%-100% (2)
378,"Korukluoglu G., Papa A., Pappa S., Uyar Y., Yagci caglayik D., Yagci-caglayik D.","Direct Submission, Molecular epidemiology of Crimean-Congo hemorrhagic fever in Turkey, Molecular epidemiology of Crimean-congo hemorrhagic fever in Turkey","A' Dept. of Microbiology, Aristotle University of Thessaloniki, Dept. of Microbiology, Greece, Medical School, Thessaloniki 54124, Unpublished",,2015,"KR059957.1, KR059958.1, KR059959.1, KR059960.1, KR059961.1, KR059962.1, KR059963.1, KR059964.1, KR059965.1, KR059966.1, KR059967.1, KR059968.1, KR059969.1, KR059970.1, KR059971.1, KR059972.1, KR059973.1, KR059974.1, KR059975.1, KR059976.1, KR092375.1, KR092376.1, KR092377.1, KR092378.1, KR092380.1",Orthonairovirus haemorrhagiae (25),01-D (25),Homo sapiens (25),Turkey (25),"2011 (14), 2012 (11)","nucleocapsid protein (24), glycoprotein precursor (1)","100-500 (15), 500-1000 (2), 1000-3000 (8)","30-100 (10), 100-500 (15)","90%-95% (1), 95%-100% (24)"
379,"Bhatt L., Chauhan A., Dhandore S., Garg V., Gawande P., Gopalakrishnan M., Gopalkrishnan M., Gupta J., Gupta N., Jain R., Kalele K., Kaur H., Khatri P., Malhotra B., Mali D., Meena D., Nag V., Nyayanit D., Patil S., Sahay R., Sharma H., Shete A., Singh N., Singh R., Singh S., Vijay N., Yadav P.","2019, Detection of African genotype in Hyalomma tick pool during Crimean Congo hemorrhagic fever outbreak, Detection of African genotype in Hyalomma tick pools during Crimean Congo Hemorrhagic Fever outbreak, Detection of African genotype in Hyalomma tick pools during Crimean Congo hemorrhagic fever outbreak, Direct Submission, India, Rajasthan","198046 (2020), India, Maharashtra 411021, Maximum Containment Laboratory, National Institue of Virology, National Institute of Virology, Pashan, Pune, Unpublished, Virus Res. 286, Virus Res. 286 (2020) In press",32505728.0,"2019, 2020","MN866126.1, MN866127.1, MN866128.1, MN866129.1, MN866130.1, MN866131.1, MN866132.1, MN866133.1, MN866134.1, MN866135.1, MN866136.1, MN866137.1, MN866138.1, MN866139.1, MN866140.1, MN866141.1, MN866142.1, MN866143.1, MN866144.1, MN866145.1, MN866146.1, MN866147.1, MN866148.1, MN866149.1, MN866150.1, MN866151.1, MN866152.1, MN866153.1, MN866154.1, MN866155.1, MN866156.1, MN866157.1, MN866158.1, MN866159.1, MN866160.1, MN866161.1, MN866162.1, MN866163.1, MN866164.1, MN866165.1, MN866166.1, MN866167.1, MN866168.1, MN866169.1, MN866170.1, MN866171.1, MN866172.1, MN866173.1, MN866174.1, MN866175.1, MN866176.1, MN866177.1, MN866178.1, MN866179.1, MN866180.1, MN866181.1, MN866182.1, MN866183.1, MN866184.1, MN866185.1, MN866186.1, MN866187.1, MN866188.1, MN866189.1, MN866190.1, MN866191.1, MN866192.1, MN866193.1, MN866194.1, MN866195.1, MN866196.1, MN866197.1, MN866198.1, MN866199.1, MN866200.1, MN866201.1, MN866202.1, MN866203.1, MN866204.1, MN866205.1, MN866206.1, MN866207.1, MN866208.1, MN866209.1, MN866210.1, MN866211.1, MN866212.1, MN866213.1, MN866214.1, MN866215.1, MN866216.1, MN866217.1, MN866218.1, MN930401.1, MN930402.1, MN930403.1, MN930404.1, MN930405.1, MN930406.1, MN930407.1, MN930408.1, MN930409.1, MN930410.1, MN930411.1, MN930412.1, MN930413.1, MN930414.1, MN930415.1, MN930416.1, MN930417.1, MN930418.1, MN930419.1, MN930420.1, MN930421.1, MN930422.1, MN930423.1, MN930424.1, MN930425.1, MN930426.1, MN930427.1, MN930428.1, MN930429.1, MN930430.1",Orthonairovirus haemorrhagiae (123),"13-N (57), 27-J (36), 24-J (30)","Homo sapiens (81), tick (30), tick pool (12)","India: Gujarat State (63), India: Rajasthan State (30), India: Gujarat State, Bhavnagar (15), India: Gujarat State,Amreli (6), India: Gujarat State,Surendra Nagar (3), India: Rajasthan State,Sirohi (3), India: Gujarat State,Bhavnagar (3)","2019 (120), 2018 (3)","glycoprotein precursor (41), nucleoprotein (41), polyprotein (31), putative polyprotein (10)","1000-3000 (41), 3000-5000 (1), 5000-10000 (40), >10000 (41)","100-500 (41), 500-1000 (1), 1000-3000 (40), 3000-5000 (41)","50%-75% (1), 75%-90% (40), 95%-100% (82)"
